,Unnamed: 0,cnd,sub,cue,block,level_4,p,nll,bic,model,best_model
128,128,cj2cr,1,0,5,1,99.99342675379441,41.8900753528452,97.9356473195757,nll_gcc_eq_3,nll_uniy_1
129,129,cj2cr,1,0,5,2,49.99356631156096,41.8900753528452,97.9356473195757,nll_gcc_eq_3,nll_uniy_1
130,130,cj2cr,1,1,1,0,49.964587131522045,28.872661968618807,67.18232167982782,nll_unix_0,nll_unix_0
131,131,cj2cr,1,1,1,1,35.77554937301569,28.872661968618807,67.18232167982782,nll_unix_0,nll_unix_0
132,132,cj2cr,1,1,1,0,49.89382517833004,60.77204864010875,130.98109502280772,nll_unix_1,nll_unix_0
133,133,cj2cr,1,1,1,1,49.99445423121794,60.77204864010875,130.98109502280772,nll_unix_1,nll_unix_0
134,134,cj2cr,1,1,1,0,49.4348864252625,50.78794603321685,111.01288980902387,nll_uniy_0,nll_unix_0
135,135,cj2cr,1,1,1,1,49.9985046947112,50.78794603321685,111.01288980902387,nll_uniy_0,nll_unix_0
136,136,cj2cr,1,1,1,0,49.74279146315445,39.60314618016154,88.64329010291327,nll_uniy_1,nll_unix_0
137,137,cj2cr,1,1,1,1,49.982822876233556,39.60314618016154,88.64329010291327,nll_uniy_1,nll_unix_0
138,138,cj2cr,1,1,1,0,0.9999997912832266,28.878358236326925,71.91221308653913,nll_glc_0,nll_unix_0
139,139,cj2cr,1,1,1,1,-50.115702326355475,28.878358236326925,71.91221308653913,nll_glc_0,nll_unix_0
140,140,cj2cr,1,1,1,2,35.93207403841903,28.878358236326925,71.91221308653913,nll_glc_0,nll_unix_0
141,141,cj2cr,1,1,1,0,-0.933213939663584,27.230970599968547,68.61743781382235,nll_glc_1,nll_unix_0
142,142,cj2cr,1,1,1,1,28.941819022331792,27.230970599968547,68.61743781382235,nll_glc_1,nll_unix_0
143,143,cj2cr,1,1,1,2,31.38463958607439,27.230970599968547,68.61743781382235,nll_glc_1,nll_unix_0
144,144,cj2cr,1,1,1,0,54.08152220487418,32.53510927795932,79.22571516980392,nll_gcc_eq_0,nll_unix_0
145,145,cj2cr,1,1,1,1,99.98691707390677,32.53510927795932,79.22571516980392,nll_gcc_eq_0,nll_unix_0
146,146,cj2cr,1,1,1,2,31.947251587511534,32.53510927795932,79.22571516980392,nll_gcc_eq_0,nll_unix_0
147,147,cj2cr,1,1,1,0,53.641185806964884,32.532631986884425,79.22076058765413,nll_gcc_eq_1,nll_unix_0
148,148,cj2cr,1,1,1,1,99.99901083526423,32.532631986884425,79.22076058765413,nll_gcc_eq_1,nll_unix_0
149,149,cj2cr,1,1,1,2,32.03111572880937,32.532631986884425,79.22076058765413,nll_gcc_eq_1,nll_unix_0
150,150,cj2cr,1,1,1,0,0.001247130822598308,54.53882280344641,123.23314222077808,nll_gcc_eq_2,nll_unix_0
151,151,cj2cr,1,1,1,1,63.78919204494768,54.53882280344641,123.23314222077808,nll_gcc_eq_2,nll_unix_0
152,152,cj2cr,1,1,1,2,49.996196369446295,54.53882280344641,123.23314222077808,nll_gcc_eq_2,nll_unix_0
153,153,cj2cr,1,1,1,0,53.634099434347974,32.532975799565925,79.22144821301714,nll_gcc_eq_3,nll_unix_0
154,154,cj2cr,1,1,1,1,99.99568643884396,32.532975799565925,79.22144821301714,nll_gcc_eq_3,nll_unix_0
155,155,cj2cr,1,1,1,2,31.90990790760393,32.532975799565925,79.22144821301714,nll_gcc_eq_3,nll_unix_0
156,156,cj2cr,1,1,2,0,50.38215141980806,38.97457414647442,87.38614603553906,nll_unix_0,nll_unix_0
157,157,cj2cr,1,1,2,1,49.999105058983275,38.97457414647442,87.38614603553906,nll_unix_0,nll_unix_0
158,158,cj2cr,1,1,2,0,49.261849507353446,51.39636204733941,112.229721837269,nll_unix_1,nll_unix_0
159,159,cj2cr,1,1,2,1,49.990742757754525,51.39636204733941,112.229721837269,nll_unix_1,nll_unix_0
160,160,cj2cr,1,1,2,0,49.03821336261717,41.96121822128457,93.35943418515932,nll_uniy_0,nll_unix_0
161,161,cj2cr,1,1,2,1,49.996401280054904,41.96121822128457,93.35943418515932,nll_uniy_0,nll_unix_0
162,162,cj2cr,1,1,2,0,50.091640735874606,48.42538503908696,106.28776782076412,nll_uniy_1,nll_unix_0
163,163,cj2cr,1,1,2,1,49.99875195452799,48.42538503908696,106.28776782076412,nll_uniy_1,nll_unix_0
164,164,cj2cr,1,1,2,0,0.9004026290556011,38.22385854311779,90.60321370012088,nll_glc_0,nll_unix_0
165,165,cj2cr,1,1,2,1,-66.26283414635735,38.22385854311779,90.60321370012088,nll_glc_0,nll_unix_0
166,166,cj2cr,1,1,2,2,49.995307547879676,38.22385854311779,90.60321370012088,nll_glc_0,nll_unix_0
167,167,cj2cr,1,1,2,0,-0.9999989100206012,38.98777606648727,92.13104874685982,nll_glc_1,nll_unix_0
168,168,cj2cr,1,1,2,1,49.71951610376804,38.98777606648727,92.13104874685982,nll_glc_1,nll_unix_0
169,169,cj2cr,1,1,2,2,49.96062567553454,38.98777606648727,92.13104874685982,nll_glc_1,nll_unix_0
170,170,cj2cr,1,1,2,0,66.68211119651525,38.46106015182632,91.07761691753792,nll_gcc_eq_0,nll_unix_0
171,171,cj2cr,1,1,2,1,99.66468100661024,38.46106015182632,91.07761691753792,nll_gcc_eq_0,nll_unix_0
172,172,cj2cr,1,1,2,2,49.990826884982866,38.46106015182632,91.07761691753792,nll_gcc_eq_0,nll_unix_0
173,173,cj2cr,1,1,2,0,67.25910729297075,38.457907093588155,91.07131080106159,nll_gcc_eq_1,nll_unix_0
174,174,cj2cr,1,1,2,1,99.97316337010228,38.457907093588155,91.07131080106159,nll_gcc_eq_1,nll_unix_0
175,175,cj2cr,1,1,2,2,49.986605689657075,38.457907093588155,91.07131080106159,nll_gcc_eq_1,nll_unix_0
176,176,cj2cr,1,1,2,0,0.05266165108205456,43.25591235073985,100.66732131536502,nll_gcc_eq_2,nll_unix_0
177,177,cj2cr,1,1,2,1,66.35691014155557,43.25591235073985,100.66732131536502,nll_gcc_eq_2,nll_unix_0
178,178,cj2cr,1,1,2,2,49.97955044053496,43.25591235073985,100.66732131536502,nll_gcc_eq_2,nll_unix_0
179,179,cj2cr,1,1,2,0,66.56710555129996,38.4586368887106,91.07277039130648,nll_gcc_eq_3,nll_unix_0
180,180,cj2cr,1,1,2,1,99.9286901639208,38.4586368887106,91.07277039130648,nll_gcc_eq_3,nll_unix_0
181,181,cj2cr,1,1,2,2,49.981204907154684,38.4586368887106,91.07277039130648,nll_gcc_eq_3,nll_unix_0
182,182,cj2cr,1,1,3,0,48.22087591115429,45.4040127402331,100.2450232230564,nll_unix_0,nll_uniy_1
183,183,cj2cr,1,1,3,1,49.99764922326467,45.4040127402331,100.2450232230564,nll_unix_0,nll_uniy_1
184,184,cj2cr,1,1,3,0,52.10595834431194,44.91682911859658,99.27065597978336,nll_unix_1,nll_uniy_1
185,185,cj2cr,1,1,3,1,49.99680409487193,44.91682911859658,99.27065597978336,nll_unix_1,nll_uniy_1
186,186,cj2cr,1,1,3,0,47.368479987767905,49.520380830538684,108.47775940366756,nll_uniy_0,nll_uniy_1
187,187,cj2cr,1,1,3,1,49.994226603522044,49.520380830538684,108.47775940366756,nll_uniy_0,nll_uniy_1
188,188,cj2cr,1,1,3,0,52.06302321175848,40.787651983694225,91.01230170997866,nll_uniy_1,nll_uniy_1
189,189,cj2cr,1,1,3,1,49.99855513284686,40.787651983694225,91.01230170997866,nll_uniy_1,nll_uniy_1
190,190,cj2cr,1,1,3,0,0.99999796060881,45.417217637806566,104.98993188949842,nll_glc_0,nll_uniy_1
191,191,cj2cr,1,1,3,1,-47.47478200554622,45.417217637806566,104.98993188949842,nll_glc_0,nll_uniy_1
192,192,cj2cr,1,1,3,2,49.99307322909685,45.417217637806566,104.98993188949842,nll_glc_0,nll_uniy_1
193,193,cj2cr,1,1,3,0,0.026116052344154816,40.78704066301359,95.72957793991243,nll_glc_1,nll_uniy_1
194,194,cj2cr,1,1,3,1,-53.278648248346464,40.78704066301359,95.72957793991243,nll_glc_1,nll_uniy_1
195,195,cj2cr,1,1,3,2,49.986843219347534,40.78704066301359,95.72957793991243,nll_glc_1,nll_uniy_1
196,196,cj2cr,1,1,3,0,64.48706516897532,45.74999433422108,105.65548528232745,nll_gcc_eq_0,nll_uniy_1
197,197,cj2cr,1,1,3,1,99.98095035075492,45.74999433422108,105.65548528232745,nll_gcc_eq_0,nll_uniy_1
198,198,cj2cr,1,1,3,2,49.998199612986106,45.74999433422108,105.65548528232745,nll_gcc_eq_0,nll_uniy_1
199,199,cj2cr,1,1,3,0,64.8803056754328,45.74950611269247,105.6545088392702,nll_gcc_eq_1,nll_uniy_1
200,200,cj2cr,1,1,3,1,99.93359432950017,45.74950611269247,105.6545088392702,nll_gcc_eq_1,nll_uniy_1
